id,dut,categories,test,description,inputs,result,messages
1,s1-leaf1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s1-spine1 (IP: 192.0.255.1),PASS,
2,s1-leaf1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s1-spine2 (IP: 192.0.255.2),PASS,
3,s1-leaf1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: s1-leaf2 Ethernet1,PASS,
4,s1-leaf1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: s1-spine1 Ethernet2,PASS,
5,s1-leaf1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: s1-spine2 Ethernet2,PASS,
6,s1-leaf1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet6 - Remote: s1-leaf2 Ethernet6,PASS,
7,s1-leaf1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.3) - Destination: s1-leaf1 Loopback0 (IP: 192.0.255.3),PASS,
8,s1-leaf1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.3) - Destination: s1-leaf2 Loopback0 (IP: 192.0.255.4),PASS,
9,s1-leaf1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.3) - Destination: s1-leaf3 Loopback0 (IP: 192.0.255.5),PASS,
10,s1-leaf1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.3) - Destination: s1-leaf4 Loopback0 (IP: 192.0.255.6),PASS,
11,s1-leaf1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.3) - Destination: s1-spine1 Loopback0 (IP: 192.0.255.1),PASS,
12,s1-leaf1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.3) - Destination: s1-spine2 Loopback0 (IP: 192.0.255.2),PASS,
13,s1-leaf1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 172.30.255.1) - Destination: s1-spine1 Ethernet2 (IP: 172.30.255.0),PASS,
14,s1-leaf1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3 (IP: 172.30.255.3) - Destination: s1-spine2 Ethernet2 (IP: 172.30.255.2),PASS,
15,s1-leaf1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
16,s1-leaf1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
17,s1-leaf1,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
18,s1-leaf1,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
19,s1-leaf1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - MLAG_PEER_s1-leaf2_Ethernet1 = 'up',PASS,
20,s1-leaf1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - P2P_LINK_TO_S1-SPINE1_Ethernet2 = 'up',PASS,
21,s1-leaf1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - P2P_LINK_TO_S1-SPINE2_Ethernet2 = 'up',PASS,
22,s1-leaf1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - s1-host1_Eth1 = 'up',PASS,
23,s1-leaf1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet6 - MLAG_PEER_s1-leaf2_Ethernet6 = 'up',PASS,
